Name,ID,Genres,Popularity,Followers,URI,Profile Image
Japanese Breakfast,7MoIc5s9KXolCBH1fy9kkw,"art pop, eugene indie, indie pop, indie rock, philly indie",58,731041,spotify:artist:7MoIc5s9KXolCBH1fy9kkw,https://i.scdn.co/image/ab6761610000e5eb3a3fed0c7aa2276bedccc7fe
Nick Shoulders,4Vydw38lzh6aKIGqzZdwRS,"new orleans americana, new orleans indie",48,75517,spotify:artist:4Vydw38lzh6aKIGqzZdwRS,https://i.scdn.co/image/ab6761610000e5ebbbc028d57af236ec0845bff8
Hank Williams,1FClsNYBUoNFtGgzeG74dW,"country, honky tonk, traditional country, yodeling",59,1019126,spotify:artist:1FClsNYBUoNFtGgzeG74dW,https://i.scdn.co/image/5fc12e434b15c08796c7156b2f630df84345b9cd
George Jackson,5PmB2ZWfKuqLb60qZdi4ys,"memphis soul, southern soul",32,12050,spotify:artist:5PmB2ZWfKuqLb60qZdi4ys,https://i.scdn.co/image/84c17d4bb6a6e445ab2b1a45d51437255aca4ba9
Explosions In The Sky,1uQWmt1OhuHGRKmZ2ZcL6p,"american post-rock, cinematic post-rock, instrumental post-rock, melancholia, post-rock",51,651057,spotify:artist:1uQWmt1OhuHGRKmZ2ZcL6p,https://i.scdn.co/image/ab6761610000e5ebd7b6e86a1d003f907c6f4b7d
Chris Stapleton,4YLtscXsxbVgi031ovDDdh,"contemporary country, outlaw country",83,7888632,spotify:artist:4YLtscXsxbVgi031ovDDdh,https://i.scdn.co/image/ab6761610000e5eba0c87c8f329b436eac8b9784
Van Morrison,44NX2ffIYHr6D4n7RaZF7A,"classic rock, folk, folk rock, mellow gold, rock, singer-songwriter, soft rock",74,3368000,spotify:artist:44NX2ffIYHr6D4n7RaZF7A,https://i.scdn.co/image/ab6761610000e5eb5885f6c2d3ecf8e08bdfa472
Jurassic 5,6wFId9Jhuf9AKVzWboOj2B,"alternative hip hop, hip hop",53,455088,spotify:artist:6wFId9Jhuf9AKVzWboOj2B,https://i.scdn.co/image/ab6761610000e5eb2b867caebf8d276cfed1a62d
Covet,46iJ1VD4HKFnqjISGqlZkV,"instrumental math rock, instrumental rock, math rock",41,196841,spotify:artist:46iJ1VD4HKFnqjISGqlZkV,https://i.scdn.co/image/ab6761610000e5ebc4c5c21a599dc62c41a73f65
AC/DC,711MCceyCBcFnzjGY4Q7Un,"australian rock, hard rock, rock",83,30185332,spotify:artist:711MCceyCBcFnzjGY4Q7Un,https://i.scdn.co/image/ab6761610000e5ebc4c77549095c86acb4e77b37
"Bobby ""Blue"" Bland",48nwxUvPJZkm8uPa7xMzmj,"soul blues, southern soul",53,163139,spotify:artist:48nwxUvPJZkm8uPa7xMzmj,https://i.scdn.co/image/7a3cfae4df22dcd8b4cce106108d5171761095ba
Study Fruits Music,2oZnFaS18A2HxgEQCRtdaA,,0,8592,spotify:artist:2oZnFaS18A2HxgEQCRtdaA,https://i.scdn.co/image/ab6761610000e5eb93928ee509230446e606971c
Eric Clapton,6PAt558ZEZl0DmdXlnjMgD,"album rock, blues rock, classic rock, electric blues, mellow gold, rock, singer-songwriter, soft rock",73,6138683,spotify:artist:6PAt558ZEZl0DmdXlnjMgD,https://i.scdn.co/image/ab6772690000c46ca60e8f215103f6841d8a83f0
Nathaniel Rateliff & The Night Sweats,02seUFsFQP7TH4hLrTj77o,"indie folk, modern blues rock, new americana, stomp and holler",62,665761,spotify:artist:02seUFsFQP7TH4hLrTj77o,https://i.scdn.co/image/ab6761610000e5eb2c539b323a31bd5fbaaa5834
Mdou Moctar,48dgx7iGqLQ3E5KO3pzd94,"desert blues, musique nigerienne, tuareg guitar",40,144604,spotify:artist:48dgx7iGqLQ3E5KO3pzd94,https://i.scdn.co/image/ab6761610000e5ebc2e5a82d8ce030fc226aa1ab
The Rolling Stones,22bE4uQ6baNwSHPVcDxLCe,"album rock, british invasion, classic rock, rock",80,14810593,spotify:artist:22bE4uQ6baNwSHPVcDxLCe,https://i.scdn.co/image/ab6761610000e5ebe4cea917b68726aadb4854b8
Lofi Fruits Music,1dABGukgZ8XKKOdd2rVSHM,"lo-fi cover, lo-fi product",68,952627,spotify:artist:1dABGukgZ8XKKOdd2rVSHM,https://i.scdn.co/image/ab6761610000e5eba54adba5045ec1bf457a9666
"Crosby, Stills, Nash & Young",1CYsQCypByMVgnv17qsSbQ,"album rock, classic rock, country rock, folk, folk rock, mellow gold, rock, roots rock, soft rock, supergroup",61,1799290,spotify:artist:1CYsQCypByMVgnv17qsSbQ,https://i.scdn.co/image/ab6761610000e5eb4e5018dad07ee004f171d7d3
Kate Bush,1aSxMhuvixZ8h9dK9jIDwL,"art pop, art rock, baroque pop, new wave pop, permanent wave, piano rock, singer-songwriter",72,2251360,spotify:artist:1aSxMhuvixZ8h9dK9jIDwL,https://i.scdn.co/image/ab6761610000e5eb187017724e58e78ee1f5a8e4
St. Paul & The Broken Bones,4fXkvh05wFhuH77MfD4m9o,retro soul,53,440438,spotify:artist:4fXkvh05wFhuH77MfD4m9o,https://i.scdn.co/image/ab6761610000e5ebd49161e02b909acfefc728ac
B.B. King,5xLSa7l4IV1gsQfhAMvl0U,"blues, blues rock, classic rock, electric blues, jazz blues, soul, soul blues, traditional blues",64,2780048,spotify:artist:5xLSa7l4IV1gsQfhAMvl0U,https://i.scdn.co/image/ffb3ff26238fe635a230bb0feb59dd0a5b209b6f
Color Green,42Aj8msFQ4idllOK09Jj8Z,modern psychedelic folk,28,6494,spotify:artist:42Aj8msFQ4idllOK09Jj8Z,https://i.scdn.co/image/ab6761610000e5eb0ced6a281fea6af32c2385bb
Kikagaku Moyo,0hrb5WRiNlj8vh3WnCgXFq,"instrumental stoner rock, japanese psychedelic, japanese psychedelic rock, neo-psychedelic",46,276301,spotify:artist:0hrb5WRiNlj8vh3WnCgXFq,https://i.scdn.co/image/ab6761610000e5eb952b074c07607f6b8afc3f93
Gov't Mule,5zoKOcTDI9EMOhGNaxL708,"blues rock, electric blues, jam band, modern blues, modern blues rock, southern rock",45,298896,spotify:artist:5zoKOcTDI9EMOhGNaxL708,https://i.scdn.co/image/ab6761610000e5eb131b3ae435add1b3c115f5ed
Lord Huron,6ltzsmQQbmdoHHbLZ4ZN25,"indie folk, stomp and holler",79,1833831,spotify:artist:6ltzsmQQbmdoHHbLZ4ZN25,https://i.scdn.co/image/ab6761610000e5eb1d4e4e7e3c5d8fa494fc5f10
